start,1,2,1616475430.061608
start,0,2,1616475430.061634
start,11,2,1616475430.061667
start,17,2,1616475430.061723
start,14,2,1616475430.061724
end,3,1,1616475430.061756
start,18,2,1616475430.062022
start,19,2,1616475430.062178
start,3,2,1616475430.062469
end,10,2,1616475430.064872
end,4,2,1616475430.064961
start,10,3,1616475430.065601
start,4,3,1616475430.065691
end,5,2,1616475430.066056
end,2,2,1616475430.066090
end,16,2,1616475430.066117
end,15,2,1616475430.066154
end,7,2,1616475430.066188
end,8,2,1616475430.066233
end,9,2,1616475430.066297
end,13,2,1616475430.066431
end,6,2,1616475430.066464
end,12,2,1616475430.066505
end,1,2,1616475430.066537
end,0,2,1616475430.066562
end,11,2,1616475430.066598
end,17,2,1616475430.066637
end,14,2,1616475430.066663
start,5,3,1616475430.066733
start,16,3,1616475430.066797
start,2,3,1616475430.066817
start,15,3,1616475430.066829
start,7,3,1616475430.066860
start,8,3,1616475430.066904
end,18,2,1616475430.066938
start,9,3,1616475430.066967
end,19,2,1616475430.067110
start,13,3,1616475430.067148
start,6,3,1616475430.067171
start,12,3,1616475430.067219
start,1,3,1616475430.067264
start,0,3,1616475430.067299
start,11,3,1616475430.067335
start,17,3,1616475430.067367
start,14,3,1616475430.067392
end,3,2,1616475430.067442
start,18,3,1616475430.067707
start,19,3,1616475430.067857
start,3,3,1616475430.068158
end,10,3,1616475430.072613
end,4,3,1616475430.072677
start,10,4,1616475430.073360
start,4,4,1616475430.073447
end,5,3,1616475430.073791
end,16,3,1616475430.073829
end,15,3,1616475430.073866
end,7,3,1616475430.073897
end,2,3,1616475430.073927
end,13,3,1616475430.074130
end,6,3,1616475430.074172
end,12,3,1616475430.074207
end,1,3,1616475430.074239
end,0,3,1616475430.074261
end,11,3,1616475430.074298
end,17,3,1616475430.074330
end,14,3,1616475430.074354
start,5,4,1616475430.074425
start,16,4,1616475430.074471
start,15,4,1616475430.074517
start,7,4,1616475430.074552
end,18,3,1616475430.074598
end,10,4,1616475430.074634
end,19,3,1616475430.074663
end,4,4,1616475430.074694
start,2,4,1616475430.074733
start,13,4,1616475430.074768
start,6,4,1616475430.074802
start,12,4,1616475430.074837
start,1,4,1616475430.074883
end,8,3,1616475430.073955
end,9,3,1616475430.074004
start,0,4,1616475430.075124
start,11,4,1616475430.075156
start,17,4,1616475430.075190
start,14,4,1616475430.075212
end,3,3,1616475430.075251
start,18,4,1616475430.080546
start,10,5,1616475430.080576
start,4,5,1616475430.080632
start,19,4,1616475430.080674
start,8,4,1616475430.080981
start,9,4,1616475430.081030
start,3,4,1616475430.081226
end,5,4,1616475430.081291
end,16,4,1616475430.081323
end,15,4,1616475430.081369
end,7,4,1616475430.081401
end,2,4,1616475430.081608
